County,Date,WholeSale,Commodity_Classification,Year_Week,WeekofYear
Kiambu,2025-11-10,38.333333333333336,Dry_White_Maize,2025-46,46
Kirinyaga,2025-11-10,38.888888888888886,Dry_White_Maize,2025-46,46
Mombasa,2025-11-10,36.11111111111112,Dry_White_Maize,2025-46,46
Nairobi,2025-11-10,36.8,Dry_White_Maize,2025-46,46
Uasin-Gishu,2025-11-10,33.22222222222222,Dry_White_Maize,2025-46,46
Kiambu,2025-11-17,38.33,Dry_White_Maize,2025-47,47
Kirinyaga,2025-11-17,38.89,Dry_White_Maize,2025-47,47
Mombasa,2025-11-17,36.11,Dry_White_Maize,2025-47,47
Nairobi,2025-11-17,36.74857142857143,Dry_White_Maize,2025-47,47
Uasin-Gishu,2025-11-17,32.777142857142856,Dry_White_Maize,2025-47,47
Kiambu,2025-11-24,37.78,Dry_White_Maize,2025-48,48
Kirinyaga,2025-11-24,38.33,Dry_White_Maize,2025-48,48
Mombasa,2025-11-24,36.11,Dry_White_Maize,2025-48,48
Nairobi,2025-11-24,36.807500000000005,Dry_White_Maize,2025-48,48
Uasin-Gishu,2025-11-24,32.553999999999995,Dry_White_Maize,2025-48,48
Kiambu,2025-12-01,39.445,Dry_White_Maize,2025-49,49
Kirinyaga,2025-12-01,40.0,Dry_White_Maize,2025-49,49
Mombasa,2025-12-01,36.11,Dry_White_Maize,2025-49,49
Nairobi,2025-12-01,37.84875,Dry_White_Maize,2025-49,49
Uasin-Gishu,2025-12-01,33.334,Dry_White_Maize,2025-49,49
Kiambu,2025-12-08,42.77777777777778,Dry_White_Maize,2025-50,50
Kirinyaga,2025-12-08,38.333333333333336,Dry_White_Maize,2025-50,50
Mombasa,2025-12-08,37.22222222222223,Dry_White_Maize,2025-50,50
Nairobi,2025-12-08,39.09722222222222,Dry_White_Maize,2025-50,50
Uasin-Gishu,2025-12-08,34.88888888888889,Dry_White_Maize,2025-50,50
Kiambu,2025-12-15,44.44444444444444,Dry_White_Maize,2025-51,51
Kirinyaga,2025-12-15,46.666666666666664,Dry_White_Maize,2025-51,51
Mombasa,2025-12-15,42.22222222222222,Dry_White_Maize,2025-51,51
Nairobi,2025-12-15,42.77777777777778,Dry_White_Maize,2025-51,51
Uasin-Gishu,2025-12-15,41.666666666666664,Dry_White_Maize,2025-51,51
